Titlu,Are reducere,Reducere,Pret actual,Pret vechi,Status produs,Link produs,Specificatii produs
Laptop Gaming ASUS ROG Strix Scar II GL504GM-ES040,NU,,6999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-asus-rog-strix-scar-ii-gl504gm-es040-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-sshd-1tb-ssd-128gb-nvidia-geforce-gtx-1060-6gb-free-dos/cpd/LAPGL504GMES040/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSHD 1TB + SSD 128GB, NVIDIA GeForce GTX 1060 6GB, Free Dos"
Laptop 2 in 1 DELL Inspiron 5379,DA,599 lei,3899.9 lei,"4.499,90 lei",In Stoc,https://altex.ro/laptop-2-in-1-dell-inspiron-5379-intelr-coretm-i5-8250u-pana-la-3-4ghz-13-3-full-hd-touch-8gb-ssd-256gb-intelr-uhd-graphics-620-windows-10-pro/cpd/TPC53798988/,"Procesor Intel® Core™ i5-8250U pana la 3.4GHz, 13.3"" Full HD Touch, 8GB, SSD 256GB, Intel® UHD Graphics 620, Windows 10 Pro"
Laptop Gaming MSI GL62MVR 7RFX,DA,699 lei,3799.9 lei,"4.499,90 lei",In Stoc,https://altex.ro/laptop-gaming-msi-gl62mvr-7rfx-intelr-coretm-i5-7300hq-pana-la-3-5ghz-15-6-full-hd-8gb-ssd-256gb-nvidia-geforcer-gtx-1060-3gb-windows-10-home/cpd/LAPGL62MVR7RFX/,"Procesor Intel® Core™ i5-7300HQ pana la 3.5GHz, 15.6"" Full HD, 8GB, SSD 256GB, NVIDIA GeForce® GTX 1060 3GB, Windows 10 Home"
Laptop ASUS X560UD-BQ161,DA,400 lei,3199.9 lei,"3.599,90 lei",In Stoc,https://altex.ro/laptop-asus-x560ud-bq161-intelr-coretm-i5-8250u-pana-la-3-4ghz-15-6-full-hd-8gb-sshd-1tb-8gb-cache-nvidia-geforce-gtx-1050-4gb-endless/cpd/LAPX560UDBQ161/,"Procesor Intel® Core™ i5-8250U pana la 3.4GHz, 15.6"" Full HD, 8GB, SSHD 1TB + 8GB cache, NVIDIA GeForce GTX 1050 4GB, Endless"
Laptop Gaming ASUS FX504GD-E4437,DA,500 lei,2999.9 lei,"3.499,90 lei",In Stoc,https://altex.ro/laptop-gaming-asus-fx504gd-e4437-intel-core-i5-8300h-pana-la-3-9ghz-15-6-full-hd-8gb-1tb-nvidia-geforce-gtx-1050-2gb-free-dos/cpd/LAPFX504GDE4437/,"Procesor Intel Core i5-8300H pana la 3.9GHz, 15.6"" Full HD, 8GB, 1TB, NVIDIA GeForce GTX 1050 2GB, Free Dos"
Laptop LENOVO IdeaPad 530S-14IKB,DA,200 lei,2999.9 lei,"3.199,90 lei",In Stoc,https://altex.ro/laptop-lenovo-ideapad-530s-14ikb-intel-core-i5-8250u-pana-la-3-4ghz-14-full-hd-8gb-ssd-256gb-intel-uhd-graphics-620-free-dos/cpd/TPC81EU00C0RM/,"Procesor Intel Core i5-8250U pana la 3.4GHz, 14"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics 620, Free Dos"
Laptop ACER Aspire S13 S5-371-514H,DA,1300 lei,2699.9 lei,"3.999,90 lei",In Stoc,https://altex.ro/laptop-acer-aspire-s13-s5-371-514h-intelr-coretm-i5-7200u-pana-la-3-1ghz-13-3-full-hd-8gb-ssd-256gb-intelr-hd-graphics-620-windows-10-home/cpd/LAPNXGHXEX007/,"Procesor Intel® Core™ i5-7200U pana la 3.1GHz, 13.3"" Full HD, 8GB, SSD 256GB, Intel® HD Graphics 620, Windows 10 Home"
Laptop LENOVO IdeaPad 530S-14ARR,NU,,2499.9 lei,,In Stoc,https://altex.ro/laptop-lenovo-ideapad-530s-14arr-amd-ryzen-5-2500u-pana-la-3-6ghz-14-full-hd-8gb-ssd-256gb-amd-radeon-vega-8-free-dos/cpd/TPC81H10031RM/,"Procesor AMD Ryzen 5 2500U pana la 3.6GHz, 14"" Full HD, 8GB, SSD 256GB, AMD Radeon Vega 8, Free Dos"
Laptop DELL Inspiron 3576,NU,,2299.9 lei,,In Stoc,https://altex.ro/laptop-dell-inspiron-3576-intel-core-i5-8250u-pana-la-3-4ghz-15-6-full-hd-4gb-1tb-amd-radeon-520-2gb-ubuntu-negru/cpd/LAP35766628/,"Procesor Intel Core i5-8250U pana la 3.4GHz, 15.6"" Full HD, 4GB, 1TB, AMD Radeon 520 2GB, Ubuntu, negru"
Laptop ACER Aspire A315-41-R6B8,DA,300 lei,2199.9 lei,"2.499,90 lei",In Stoc,https://altex.ro/laptop-acer-aspire-a315-41-r6b8-amd-ryzen-7-2700u-pana-la-3-8ghz-15-6-full-hd-8gb-1tb-amd-radeon-rx-vega-10-linux/cpd/LAPNXGY9EX017/,"Procesor AMD Ryzen 7 2700U pana la 3.8GHz, 15.6"" Full HD, 8GB, 1TB, AMD Radeon RX Vega 10, Linux"
Laptop Lenovo IdeaPad 330S-15ARR,DA,300 lei,1599.9 lei,"1.899,90 lei",In Stoc,https://altex.ro/laptop-lenovo-ideapad-330s-15arr-amd-ryzen-5-2500u-pana-la-3-6ghz-15-6-fhd-4gb-1tb-radeon-vega-8-free-dos/cpd/LAP81FB005URM/,"Procesor AMD RYZEN 5 2500U pana la 3.6GHz, 15.6"" FHD, 4GB, 1TB, Radeon Vega 8, Free Dos"
Laptop ASUS A541UV-DM1575,DA,200 lei,1599.9 lei,"1.799,90 lei",In Stoc,https://altex.ro/laptop-asus-a541uv-dm1575-intel-core-i3-7100u-2-4ghz-15-6-full-hd-4gb-1tb-nvidia-geforce-920mx-2gb-endless/cpd/LAPA541UVDM1575/,"Procesor Intel Core i3-7100U 2.4GHz, 15.6"" Full HD, 4GB, 1TB, NVIDIA GeForce 920MX 2GB, Endless"
