Titlu,Are reducere,Reducere,Pret actual,Pret vechi,Status produs,Link produs,Specificatii produs
Laptop Gaming MSI GS65 Stealth Thin 8RF,DA,500 lei,10999.9 lei,"11.499,90 lei",In Stoc,https://altex.ro/laptop-gaming-msi-gs65-stealth-thin-8rf-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-gtx-1070-8gb-windows-10-home/cpd/LAPGS658RF/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1070 8GB, Windows 10 Home"
"Laptop APPLE MacBook Pro 13"" Retina Display si Touch Bar mpxy2ro/a",NU,,10299.9 lei,,In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-si-touch-bar-mpxy2ro-a-intelr-coretm-i5-pana-la-3-5ghz-8gb-512gb-intel-iris-plus-graphics-650-macos-sierra-argintiu-tastatura-layout-ro/cpd/LAPMPXY2ROA/,"Procesor Intel® Core™ i5 pana la 3.5GHz, 8GB, 512GB, Intel Iris Plus Graphics 650, macOS Sierra, Argintiu - Tastatura layout RO"
"Laptop APPLE MacBook Pro 13"" Retina Display si Touch Bar mr9r2ze/a",DA,800 lei,10299.9 lei,"11.099,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-si-touch-bar-mr9r2ze-a-intel-core-i5-pana-la-3-8ghz-8gb-512gb-intel-iris-plus-graphics-655-macos-sierra-space-gray-tastatura-layout-int/cpd/LAPMR9R2ZEA/,"Procesor Intel Core i5 pana la 3.8GHz, 8GB, 512GB, Intel Iris Plus Graphics 655, macOS Sierra, Space Gray - Tastatura layout INT"
"Laptop APPLE MacBook Pro 13"" Retina Display si Touch Bar mr9v2ze/a",DA,800 lei,10299.9 lei,"11.099,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-si-touch-bar-mr9v2ze-a-intel-core-i5-pana-la-3-8ghz-8gb-512gb-intel-iris-plus-graphics-655-macos-sierra-argintiu-tastatura-layout-int/cpd/LAPMR9V2ZEA/,"Procesor Intel Core i5 pana la 3.8GHz, 8GB, 512GB, Intel Iris Plus Graphics 655, macOS Sierra, Argintiu - Tastatura layout INT"
Laptop Gaming MSI GE73 Raider RGB 8RF,NU,,9999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-msi-ge73-raider-rgb-8rf-intel-core-i7-8750h-pana-la-4-1ghz-17-3-full-hd-16gb-ssd-256gb-1tb-nvidia-geforce-gtx-1070-8gb-windows-10-home/cpd/LAPGE738RF/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 17.3"" Full HD, 16GB, SSD 256GB + 1TB, NVIDIA GeForce GTX 1070 8GB, Windows 10 Home"
"Laptop APPLE MacBook Pro 13"" Retina Display si Touch Bar mpxw2ro/a",DA,200 lei,9799.9 lei,"9.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-si-touch-bar-mpxw2ro-a-intelr-coretm-i5-pana-la-3-5ghz-8gb-512gb-intel-iris-plus-graphics-650-macos-sierra-space-gray-tastatura-layout-ro/cpd/LAPMPXW2ROA/,"Procesor Intel® Core™ i5 pana la 3.5GHz, 8GB, 512GB, Intel Iris Plus Graphics 650, macOS Sierra, Space Gray - Tastatura layout RO"
Laptop ASUS ROG ZEPHYRUS GM501GM-EI017R,NU,,9699.9 lei,,In Stoc,https://altex.ro/laptop-asus-rog-zephyrus-gm501gm-ei017r-intelr-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-sshd-1tb-ssd-512gb-nvidia-geforce-gtx-1060-6gb-windows-10-pro/cpd/LAPGM501GMEI017/,"Procesor Intel® Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSHD 1TB + SSD 512GB, NVIDIA GeForce GTX 1060 6GB, Windows 10 Pro"
Laptop Gaming MSI GS73 Stealth 8RF,NU,,9699.9 lei,,In Stoc,https://altex.ro/laptop-gaming-msi-gs73-stealth-8rf-intel-core-i7-8750h-pana-la-4-1ghz-17-3-full-hd-16gb-ssd-256gb-1tb-nvidia-geforce-gtx-1070-8gb-free-dos/cpd/LAPGS738RF/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 17.3"" Full HD, 16GB, SSD 256GB + 1TB, NVIDIA GeForce GTX 1070 8GB, Free Dos"
Laptop Gaming ASUS ROG Strix Scar II GL504GS-ES058R,DA,1000 lei,9499.9 lei,"10.499,90 lei",In Stoc,https://altex.ro/laptop-gaming-asus-rog-strix-scar-ii-gl504gs-es058r-15-6-full-hd-intel-core-i7-8750h-pana-la-4-1ghz-32gb-sshd-1tb-ssd-256gb-nvidia-geforce-gtx-1070-8gb-free-dos/cpd/LAPGL504GSES058/,"Procesor 15.6"" Full HD, Intel Core i7-8750H pana la 4.1GHz, 32GB, SSHD 1TB + SSD 256GB, NVIDIA GeForce GTX 1070 8GB, Free Dos"
Laptop Gaming ASUS ROG Zephyrus S GX531GM-ES005T,NU,,9499.9 lei,,In Stoc,https://altex.ro/laptop-gaming-asus-rog-zephyrus-s-gx531gm-es005t-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-gtx-1060-6gb-windows-10-home/cpd/LAPGX531GMES005/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1060 6GB, Windows 10 Home"
Laptop DELL XPS 9570,NU,,9399.9 lei,,In Stoc,https://altex.ro/laptop-dell-xps-9570-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-ips-8gb-ssd-256gb-nvidia-geforce-gtx-1050-ti-4gb-windows-10-pro/cpd/LAP95706379/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD IPS, 8GB, SSD 256GB, NVIDIA GeForce GTX 1050 Ti 4GB, Windows 10 Pro"
Laptop ASUS ZenBook 3 UX390UA-GS058R,NU,,9399.9 lei,,In Stoc,https://altex.ro/laptop-asus-zenbook-3-ux390ua-gs058r-intelr-coretm-i7-7500u-pana-la-3-5ghz-12-5-full-hd-16gb-ssd-1tb-intelr-hd-graphics-620-windows-10-pro/cpd/LAPUX390UAGS058/,"Procesor Intel® Core™ i7-7500U pana la 3.5GHz, 12.5"" Full HD, 16GB, SSD 1TB, Intel® HD Graphics 620, Windows 10 Pro"
"Laptop APPLE MacBook Pro 13"" Retina Display si Touch Bar mr9q2ze/a",DA,700 lei,9299.9 lei,"9.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-si-touch-bar-mr9q2ze-a-intel-core-i5-pana-la-3-8ghz-8gb-256gb-intel-iris-plus-graphics-655-macos-sierra-space-gray-tastatura-layout-int/cpd/LAPMR9Q2ZEA/,"Procesor Intel Core i5 pana la 3.8GHz, 8GB, 256GB, Intel Iris Plus Graphics 655, macOS Sierra, Space Gray - Tastatura layout INT"
"Laptop APPLE MacBook Pro 13"" Retina Display si Touch Bar mr9q2ro/a",DA,700 lei,9299.9 lei,"9.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-si-touch-bar-mr9q2ro-a-intel-core-i5-pana-la-3-8ghz-8gb-256gb-intel-iris-plus-graphics-655-macos-sierra-space-gray-tastatura-layout-ro/cpd/LAPMR9Q2ROA/,"Procesor Intel Core i5 pana la 3.8GHz, 8GB, 256GB, Intel Iris Plus Graphics 655, macOS Sierra, Space Gray - Tastatura layout RO"
"Laptop APPLE MacBook Pro 13"" Retina Display si Touch Bar mr9u2ro/a",DA,700 lei,9299.9 lei,"9.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-si-touch-bar-mr9u2ro-a-intel-core-i5-pana-la-3-8ghz-8gb-256gb-intel-iris-plus-graphics-655-macos-sierra-argintiu-tastatura-layout-ro/cpd/LAPMR9U2ROA/,"Procesor Intel Core i5 pana la 3.8GHz, 8GB, 256GB, Intel Iris Plus Graphics 655, macOS Sierra, Argintiu - Tastatura layout RO"
"Laptop APPLE MacBook Pro 13"" Retina Display si Touch Bar mr9u2ze/a",DA,700 lei,9299.9 lei,"9.999,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-si-touch-bar-mr9u2ze-a-intel-core-i5-pana-la-3-8ghz-8gb-256gb-intel-iris-plus-graphics-655-macos-sierra-argintiu-tastatura-layout-int/cpd/LAPMR9U2ZEA/,"Procesor Intel Core i5 pana la 3.8GHz, 8GB, 256GB, Intel Iris Plus Graphics 655, macOS Sierra, Argintiu - Tastatura layout INT"
Laptop DELL XPS 9570,NU,,9099.9 lei,,In Stoc,https://altex.ro/laptop-dell-xps-9570-intel-core-i5-8300h-pana-la-4-0ghz-15-6-full-hd-ips-8gb-hdd-1tb-ssd-128gb-nvidia-geforce-gtx-1050-4gb-windows-10-pro/cpd/LAP95706386/,"Procesor Intel Core i5-8300H pana la 4.0GHz, 15.6"" Full HD IPS, 8GB, HDD 1TB + SSD 128GB, NVIDIA GeForce GTX 1050 4GB, Windows 10 Pro"
Laptop Gaming MSI GS73 Stealth 8RE,NU,,8999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-msi-gs73-stealth-8re-intel-core-i7-8750h-pana-la-4-1ghz-17-3-full-hd-16gb-ssd-128gb-1tb-nvidia-geforce-gtx-1060-6gb-free-dos/cpd/LAPGS738RE/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 17.3"" Full HD, 16GB, SSD 128GB + 1TB, NVIDIA GeForce GTX 1060 6GB, Free Dos"
Laptop Gaming ASUS ROG Strix Scar GL703GS-E5011,NU,,8999.9 lei,,In Stoc,https://altex.ro/laptop-gaming-asus-rog-strix-scar-gl703gs-e5011-17-3-full-hd-intel-core-i7-8750h-pana-la-4-1ghz-16gb-sshd-1tb-ssd-256gb-nvidia-geforce-gtx-1070-8gb-free-dos/cpd/LAPGL703GSE5011/,"Procesor 17.3"" Full HD, Intel Core i7-8750H pana la 4.1GHz, 16GB, SSHD 1TB + SSD 256GB, NVIDIA GeForce GTX 1070 8GB, Free Dos"
Laptop ASUS ROG ZEPHYRUS GM501GM-EI005T,NU,,8999.9 lei,,In Stoc,https://altex.ro/laptop-asus-rog-zephyrus-gm501gm-ei005t-intelr-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-sshd-1tb-ssd-256gb-nvidia-geforce-gtx-1060-6gb-windows-10/cpd/LAPGM501GMEI005/,"Procesor Intel® Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSHD 1TB + SSD 256GB, NVIDIA GeForce GTX 1060 6GB, Windows 10"
Laptop DELL XPS 9570,NU,,8999.9 lei,,In Stoc,https://altex.ro/laptop-dell-xps-9570-intel-core-i5-8300h-pana-la-4-0ghz-15-6-full-hd-8gb-hdd-1tb-ssd-128gb-nvidia-geforce-gtx-1050-4gb-windows-10-pro/cpd/LAP9570-7122/,"Procesor Intel Core i5-8300H pana la 4.0GHz, 15.6"" Full HD, 8GB, HDD 1TB + SSD 128GB, NVIDIA GeForce GTX 1050 4GB, Windows 10 Pro"
Laptop APPLE MacBook 12 mrqp2ro/a,NU,,8699.9 lei,,Disponibil la precomanda,https://altex.ro/laptop-apple-macbook-12-mrqp2ro-a-intel-core-i5-pana-la-3-2ghz-12-ips-retina-8gb-ssd-512gb-intel-hd-graphics-615-macos-mojave-layout-ro-gold/cpd/LAPMRQP2ROA/,"Procesor Intel Core i5 pana la 3.2GHz, 12"" IPS Retina, 8GB, SSD 512GB, Intel HD Graphics 615, macOS Mojave, Layout RO, Gold"
Laptop APPLE MacBook 12 mrqp2ze/a,NU,,8699.9 lei,,Disponibil la precomanda,https://altex.ro/laptop-apple-macbook-12-mrqp2ze-a-intel-core-i5-pana-la-3-2ghz-12-ips-retina-8gb-ssd-512gb-intel-hd-graphics-615-macos-mojave-layout-int-gold/cpd/LAPMRQP2ZEA/,"Procesor Intel Core i5 pana la 3.2GHz, 12"" IPS Retina, 8GB, SSD 512GB, Intel HD Graphics 615, macOS Mojave, Layout INT, Gold"
Laptop ASUS ZenBook Pro 15 UX580GD-BN008R,NU,,8649.9 lei,,In Stoc,https://altex.ro/laptop-asus-zenbook-pro-15-ux580gd-bn008r-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-gtx-1050-4gb-windows-10-pro/cpd/LAPUX580GDBN008/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1050 4GB, Windows 10 Pro"
Laptop Gaming MSI GS65 Stealth Thin 8RE,DA,660 lei,8639.9 lei,"9.299,90 lei",In Stoc,https://altex.ro/laptop-gaming-msi-gs65-stealth-thin-8re-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-256gb-nvidia-geforce-gtx-1060-6gb-free-dos/cpd/LAPGS658RE/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 256GB, NVIDIA GeForce GTX 1060 6GB, Free Dos"
Laptop Gaming MSI GS63 Stealth 8RE,NU,,8499.9 lei,,In Stoc,https://altex.ro/laptop-gaming-msi-gs63-stealth-8re-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-1tb-ssd-256gb-nvidia-geforce-gtx-1060-6gb-free-dos/cpd/LAPGS638RE/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB,1TB + SSD 256GB, NVIDIA GeForce GTX 1060 6GB, Free Dos"
Laptop HP Envy 17-bw0000nq,NU,,8199.9 lei,,In Stoc,https://altex.ro/laptop-hp-envy-17-bw0000nq-intel-core-i7-8550u-pana-la-4-0ghz-17-3-4k-16gb-ssd-512gb-nvidia-geforce-mx150-4gb-windows-10-home/cpd/LAP4UB28EA/,"Procesor Intel Core i7-8550U pana la 4.0GHz, 17.3"" 4K, 16GB, SSD 512GB, NVIDIA Geforce MX150 4GB, Windows 10 Home"
"Laptop APPLE MacBook 12"" Retina Display mnyj2ze/a",DA,600 lei,8099.9 lei,"8.699,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-12-retina-display-mnyj2ze-a-intelr-coretm-i5-pana-la-3-2ghz-8gb-512gb-intel-hd-graphics-615-macos-sierra-silver-tastatura-layout-int/cpd/LAPMNYJ2ZEA/,"Procesor Intel® Core™ i5 pana la 3.2GHz, 8GB, 512GB, Intel HD Graphics 615, MacOS Sierra, Silver - Tastatura layout INT"
"Laptop APPLE MacBook 12"" Retina Display mnyn2ro/a",DA,600 lei,8099.9 lei,"8.699,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-12-retina-display-mnyn2ro-a-intelr-coretm-i5-pana-la-3-2ghz-8gb-512gb-intel-hd-graphics-615-macos-sierra-rose-gold-tastatura-layout-ro/cpd/LAPMNYN2ROA/,"Procesor Intel® Core™ i5 pana la 3.2GHz, 8GB, 512GB, Intel HD Graphics 615, MacOS Sierra, Rose Gold - Tastatura layout RO"
"Laptop APPLE MacBook 12"" Retina Display mnyl2ro/a",DA,600 lei,8099.9 lei,"8.699,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-12-retina-display-mnyl2ro-a-intelr-coretm-i5-pana-la-3-2ghz-8gb-512gb-intel-hd-graphics-615-macos-sierra-gold-tastatura-layout-ro/cpd/LAPMNYL2ROA/,"Procesor Intel® Core™ i5 pana la 3.2GHz, 8GB, 512GB, Intel HD Graphics 615, MacOS Sierra, Gold - Tastatura layout RO"
Laptop Gaming Omen by HP 17-an107nq,DA,800 lei,8099.9 lei,"8.899,90 lei",In Stoc,https://altex.ro/laptop-gaming-omen-by-hp-17-an107nq-intel-core-i7-8750h-pana-la-4-1ghz-17-3-full-hd-12gb-hdd-1tb-ssd-128gb-nvidia-geforce-gtx-1070-8gb-windows-10-home/cpd/LAP4MV64EA/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 17.3"" Full HD, 12GB, HDD 1TB + SSD 128GB, NVIDIA GeForce GTX 1070 8GB, Windows 10 Home"
"Laptop APPLE MacBook Pro 13"" Retina Display mpxt2ro/a",DA,600 lei,7899.9 lei,"8.499,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-mpxt2ro-a-intelr-coretm-i5-pana-la-3-6ghz-8gb-256gb-intel-iris-plus-graphics-640-macos-sierra-space-gray-tastatura-layout-ro/cpd/LAPMPXT2ROA/,"Procesor Intel® Core™ i5 pana la 3.6GHz, 8GB, 256GB, Intel Iris Plus Graphics 640, macOS Sierra, Space Gray - Tastatura layout RO"
Laptop Gaming MSI GE73 Raider 8RE,NU,,7899.9 lei,,In Stoc,https://altex.ro/laptop-gaming-msi-ge73-raider-8re-intel-core-i7-8750h-pana-la-4-1-ghz-17-3-full-hd-16gb-1tb-ssd-128gb-nvidia-geforce-gtx-1060-6gb-free-dos/cpd/LAPGE738RE/,"Procesor Intel Core i7-8750H pana la 4.1 GHz, 17.3"" Full HD, 16GB, 1TB + SSD 128GB, NVIDIA GeForce GTX 1060 6GB, Free Dos"
Laptop Gaming ASUS ROG Strix Scar II GL504GS-ES056,DA,700 lei,7899.9 lei,"8.599,90 lei",In Stoc,https://altex.ro/laptop-gaming-asus-rog-strix-scar-ii-gl504gs-es056-15-6-full-hd-intel-core-i7-8750h-pana-la-4-1ghz-16gb-sshd-1tb-ssd-256gb-nvidia-geforce-gtx-1070-8gb-free-dos/cpd/LAPGL504GSES056/,"Procesor 15.6"" Full HD, Intel Core i7-8750H pana la 4.1GHz, 16GB, SSHD 1TB + SSD 256GB, NVIDIA GeForce GTX 1070 8GB, Free Dos"
"Laptop APPLE MacBook Pro 13"" Retina Display mpxt2ze/a",DA,600 lei,7899.9 lei,"8.499,90 lei",In Stoc,https://altex.ro/laptop-apple-macbook-pro-13-retina-display-mpxt2ze-a-intelr-coretm-i5-pana-la-3-6ghz-8gb-256gb-intel-iris-plus-graphics-640-macos-sierra-space-gray-tastatura-layout-int/cpd/LAPMPXT2ZEA/,"Procesor Intel® Core™ i5 pana la 3.6GHz, 8GB, 256GB, Intel Iris Plus Graphics 640, macOS Sierra, Space Gray - Tastatura layout INT"
Laptop Gaming MSI GE63 Raider RGB 8RE,NU,,7699.9 lei,,In Stoc,https://altex.ro/laptop-gaming-msi-ge63-raider-rgb-8re-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-128gb-1tb-nvidia-geforce-gtx-1060-6gb-free-dos/cpd/LAPGE638RE/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 128GB + 1TB, NVIDIA GeForce GTX 1060 6GB, Free Dos"
Laptop ASUS ZenBook 3 UX390UA-GS075T,NU,,7599.9 lei,,In Stoc,https://altex.ro/laptop-asus-zenbook-3-ux390ua-gs075t-intelr-coretm-i7-7500u-pana-la-3-5ghz-12-5-full-hd-8gb-ssd-512gb-intelr-hd-graphics-620-windows-10/cpd/LAPUX390UAGS075/,"Procesor Intel® Core™ i7-7500U pana la 3.5GHz, 12.5"" Full HD, 8GB, SSD 512GB, Intel® HD Graphics 620, Windows 10"
Laptop APPLE MacBook Air 13 mref2ze/a,NU,,7599.9 lei,,Disponibil la precomanda,https://altex.ro/laptop-apple-macbook-air-13-mref2ze-a-intel-core-i5-pana-la-3-6ghz-13-3-ips-retina-8gb-ssd-256gb-intel-uhd-graphics-617-macos-mojave-layout-int-gold/cpd/LAPMREF2ZEA/,"Procesor Intel Core i5 pana la 3.6GHz, 13.3"" IPS Retina, 8GB, SSD 256GB, Intel UHD Graphics 617, macOS Mojave, Layout INT, Gold"
Laptop APPLE MacBook Air 13 mref2ro/a,NU,,7599.9 lei,,Disponibil la precomanda,https://altex.ro/laptop-apple-macbook-air-13-mref2ro-a-intel-core-i5-pana-la-3-6ghz-13-3-ips-retina-8gb-ssd-256gb-intel-uhd-graphics-617-macos-mojave-layout-ro-gold/cpd/LAPMREF2ROA/,"Procesor Intel Core i5 pana la 3.6GHz, 13.3"" IPS Retina, 8GB, SSD 256GB, Intel UHD Graphics 617, macOS Mojave, Layout RO, Gold"
Laptop ASUS ZenBook 3 UX390UA-GS076T,NU,,7599.9 lei,,In Stoc,https://altex.ro/laptop-asus-zenbook-3-ux390ua-gs076t-intelr-coretm-i7-7500u-pana-la-3-5ghz-12-5-full-hd-8gb-ssd-512gb-intelr-hd-graphics-620-windows-10/cpd/LAPUX390UAGS076/,"Procesor Intel® Core™ i7-7500U pana la 3.5GHz, 12.5"" Full HD, 8GB, SSD 512GB, Intel® HD Graphics 620, Windows 10"
Laptop ASUS ZenBook 3 UX390UA-GS073T,NU,,7599.9 lei,,In Stoc,https://altex.ro/laptop-asus-zenbook-3-ux390ua-gs073t-intelr-coretm-i7-7500u-pana-la-3-5ghz-12-5-full-hd-8gb-ssd-512gb-intelr-hd-graphics-620-windows-10/cpd/LAPUX390UAGS073/,"Procesor Intel® Core™ i7-7500U pana la 3.5GHz, 12.5"" Full HD, 8GB, SSD 512GB, Intel® HD Graphics 620, Windows 10"
Laptop APPLE MacBook Air 13 mrec2ro/a,NU,,7599.9 lei,,In Stoc,https://altex.ro/laptop-apple-macbook-air-13-mrec2ro-a-intel-core-i5-pana-la-3-6ghz-13-3-ips-retina-8gb-ssd-256gb-intel-uhd-graphics-617-macos-mojave-layout-ro-silver/cpd/LAPMREC2ROA/,"Procesor Intel Core i5 pana la 3.6GHz, 13.3"" IPS Retina, 8GB, SSD 256GB, Intel UHD Graphics 617, macOS Mojave, Layout RO, Silver"
Laptop APPLE MacBook Air 13 mrec2ze/a,NU,,7599.9 lei,,Disponibil la precomanda,https://altex.ro/laptop-apple-macbook-air-13-mrec2ze-a-intel-core-i5-pana-la-3-6ghz-13-3-ips-retina-8gb-ssd-256gb-intel-uhd-graphics-617-macos-mojave-layout-int-silver/cpd/LAPMREC2ZEA/,"Procesor Intel Core i5 pana la 3.6GHz, 13.3"" IPS Retina, 8GB, SSD 256GB, Intel UHD Graphics 617, macOS Mojave, Layout INT, Silver"
Ultrabook ASUS ZenBook Pro UX550GD-BN017R,DA,900 lei,7499.9 lei,"8.399,90 lei",In Stoc,https://altex.ro/ultrabook-asus-zenbook-pro-ux550gd-bn017r-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-gtx-1050-4gb-windows-10-pro/cpd/LAP90NB0HV3M002/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1050 4GB, Windows 10 Pro"
Laptop ACER Switch 7 SW713-51GNP,DA,600 lei,7399.9 lei,"7.999,90 lei",In Stoc,https://altex.ro/laptop-acer-switch-7-sw713-51gnp-intelr-coretm-i7-8550u-pana-la-4-0ghz-13-5-qhd-touch-16gb-ssd-512gb-nvidia-geforce-mx150-2gb-windows-10-pro/cpd/LAPNTLEPEX001/,"Procesor  Intel® Core™ i7-8550U pana la 4.0GHz, 13.5"" QHD Touch, 16GB, SSD 512GB, NVIDIA GeForce MX150 2GB, Windows 10 Pro"
Laptop Gaming Omen by HP 15-dc0024nq,NU,,7299.9 lei,,In Stoc,https://altex.ro/laptop-gaming-omen-by-hp-15-dc0024nq-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-8gb-hdd-1tb-ssd-128gb-nvidia-geforce-gtx-1060-6gb-free-dos/cpd/LAP4TU21EA/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 8GB, HDD 1TB + SSD 128GB, NVIDIA GeForce GTX 1060 6GB, Free Dos"
Laptop APPLE MacBook 12 mrqn2ro/a,NU,,7299.9 lei,,In Stoc,https://altex.ro/laptop-apple-macbook-12-mrqn2ro-a-intel-core-m3-pana-la-3-0ghz-12-ips-retina-8gb-ssd-256gb-intel-hd-graphics-615-macos-mojave-layout-ro-gold/cpd/LAPMRQN2ROA/,"Procesor Intel Core m3 pana la 3.0GHz, 12"" IPS Retina, 8GB, SSD 256GB, Intel HD Graphics 615, macOS Mojave, Layout RO, Gold"
Laptop APPLE MacBook 12 mrqn2ze/a,NU,,7299.9 lei,,In Stoc,https://altex.ro/laptop-apple-macbook-12-mrqn2ze-a-intel-core-m3-pana-la-3-0ghz-12-ips-retina-8gb-ssd-256gb-intel-hd-graphics-615-macos-mojave-layout-int-gold/cpd/LAPMRQN2ZEA/,"Procesor Intel Core m3 pana la 3.0GHz, 12"" IPS Retina, 8GB, SSD 256GB, Intel HD Graphics 615, macOS Mojave, Layout INT, Gold"
Laptop DELL XPS 13 9360,NU,,7299.9 lei,,In Stoc,https://altex.ro/laptop-dell-xps-13-9360-intelr-core-i5-8250u-pana-la-3-4ghz-13-3-full-hd-8gb-ssd-256gb-intelr-uhd-graphics-620-windows-10-pro/cpd/LAP93606355/,"Procesor Intel® Core i5-8250U pana la 3.4GHz, 13.3"" Full HD, 8GB, SSD 256GB, Intel® UHD Graphics 620, Windows 10 Pro"
Laptop Gaming DELL G5 5587,DA,700 lei,7199.9 lei,"7.899,90 lei",In Stoc,https://altex.ro/laptop-gaming-dell-g5-5587-intelr-coretm-i7-8750h-pana-la-4-1ghz-15-6-uhd-16gb-1tb-ssd-512gb-nvidia-geforce-gtx-1060-6gb-ubuntu/cpd/LAP55878643/,"Procesor Intel® Core™ i7-8750H pana la 4.1GHz, 15.6"" UHD, 16GB, 1TB + SSD 512GB, NVIDIA GeForce GTX 1060 6GB, Ubuntu"
Laptop 2 in 1 ASUS ZenBook Flip S UX370UA-C4195T,NU,,7199.9 lei,,In Stoc,https://altex.ro/laptop-2-in-1-asus-zenbook-flip-s-ux370ua-c4195t-intelr-coretm-i7-8550u-pana-la-4-0ghz-13-3-full-hd-touch-16gb-ssd-512gb-intelr-uhd-graphics-620-windows-10-home/cpd/TPCUX370UAC4195/,"Procesor Intel® Core™ i7-8550U pana la 4.0GHz, 13.3"" Full HD Touch, 16GB, SSD 512GB, Intel® UHD Graphics 620, Windows 10 Home"
Laptop 2 in 1 ASUS ZenBook Flip 14 UX461UN-E1017T,NU,,7099.9 lei,,In Stoc,https://altex.ro/laptop-2-in-1-asus-zenbook-flip-14-ux461un-e1017t-intelr-coretm-i7-8550u-pana-la-4-0ghz-14-full-hd-8gb-ssd-512gb-nvidia-geforce-mx150-2gb-windows-10-home/cpd/TPCUX461E1017T/,"Procesor Intel® Core™ i7-8550U pana la 4.0GHz, 14"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce MX150 2GB, Windows 10 Home"
Laptop 2 in 1 ASUS ZenBook Flip S UX370UA-C4229T,NU,,6999.9 lei,,In Stoc,https://altex.ro/laptop-2-in-1-asus-zenbook-flip-s-ux370ua-c4229t-intelr-coretm-i7-8550u-pana-la-4-0ghz-13-3-full-hd-16gb-ssd-256gb-intelr-uhd-graphics-620-windows-10-home/cpd/TPCUX370C4229T/,"Procesor Intel® Core™ i7-8550U pana la 4.0GHz, 13.3"" Full HD, 16GB, SSD 256GB, Intel® UHD Graphics 620, Windows 10 Home"
Laptop LENOVO Legion Y720-15IKB,DA,400 lei,6999.9 lei,"7.399,90 lei",In Stoc,https://altex.ro/laptop-lenovo-legion-y720-15ikb-intel-core-i7-7700hq-pana-la-3-8ghz-15-6-full-hd-16gb-hdd-1tb-ssd-512gb-nvidia-geforce-gtx-1060-6gb-windows-10-home/cpd/LAP80VR003ERI/,"Procesor Intel Core i7-7700HQ pana la 3.8GHz, 15.6"" Full HD, 16GB, HDD 1TB + SSD 512GB, NVIDIA GeForce GTX 1060 6GB, Windows 10 Home"
